osmid,speed_kmh
25010672,30.0
25010686,30.0
25012030,50.0
25012139,30.0
25012253,80.0
25012595,50.0
25012624,45.0
25012695,50.0
25012834,80.0
25037690,45.0
25037698,45.0
25038238,50.0
25038242,50.0
25056517,30.0
25056518,30.0
25091492,30.0
25091519,30.0
25091531,30.0
25091553,50.0
25091560,30.0
25091564,30.0
25091621,50.0
25091626,50.0
25091629,50.0
25091630,50.0
25091632,50.0
25091633,50.0
25091642,80.0
25091643,80.0
25091902,50.0
25093845,50.0
25382412,50.0
25382413,50.0
25384757,30.0
25452591,25.0
25453343,30.0
25486617,45.0
25522616,30.0
25522617,30.0
25522618,30.0
25522619,30.0
25522620,30.0
25522621,30.0
25522622,24.0
25522623,30.0
25522624,30.0
25522625,30.0
25522626,30.0
25522628,30.0
25522629,30.0
25522630,30.0
25522631,30.0
25522632,30.0
25522633,30.0
25522636,30.0
25522637,30.0
25522639,30.0
25522641,30.0
25522642,24.0
25522643,30.0
25522646,30.0
25522647,40.0
25522649,24.0
25522650,30.0
25522651,24.0
25522654,30.0
25522655,30.0
25523669,30.0
25523670,30.0
25523673,30.0
25523674,30.0
25523675,30.0
25544266,25.0
25544267,25.0
25544268,30.0
25544271,24.0
25544273,24.0
25544274,40.0
25544277,24.0
25544279,24.0
25544280,24.0
25544282,24.0
25544283,24.0
25544284,30.0
25544285,40.0
25544286,24.0
25544287,24.0
25682940,30.0
25682941,30.0
25682943,30.0
25682945,30.0
25682946,30.0
25682947,30.0
25682948,50.0
25682949,30.0
25682951,30.0
25683064,10.0
25683065,45.0
25683066,45.0
25683067,40.0
25683069,45.0
25683324,30.0
25683325,50.0
25683326,30.0
25683327,30.0
25683328,30.0
25683329,30.0
25823215,60.0
25910180,30.0
25910182,40.0
25910210,30.0
25965863,30.0
25965864,30.0
25965865,50.0
25965866,30.0
25965867,25.0
25965868,30.0
25965869,30.0
25965870,30.0
25965871,30.0
25965872,30.0
25965873,30.0
25965880,50.0
25965881,50.0
25965882,50.0
25965883,50.0
25965884,50.0
25965886,25.0
25965888,50.0
25965889,45.0
25965890,30.0
25965891,30.0
25965892,30.0
25965893,30.0
25965894,25.0
25965896,30.0
25965897,30.0
25965900,25.0
25965902,25.0
25994892,30.0
25994893,30.0
25994894,30.0
25994895,45.0
25994898,45.0
26006215,60.0
26254953,45.0
26254955,50.0
26254956,30.0
26254958,40.0
26254959,25.0
26254960,50.0
26254966,45.0
26254969,45.0
26254970,30.0
26255409,45.0
26446325,30.0
26446326,30.0
26446327,30.0
26446328,30.0
26446329,30.0
26446330,30.0
26446331,30.0
26461625,30.0
26475458,30.0
26475459,30.0
27142230,30.0
27142232,20.0
27142233,30.0
27229152,30.0
27229153,30.0
27229154,30.0
27229155,30.0
27229156,30.0
27229157,30.0
27229158,30.0
27229159,30.0
27229162,30.0
27229164,30.0
27229166,30.0
27229169,30.0
27229175,30.0
27229176,30.0
27229181,30.0
27229183,40.0
27229184,30.0
27229185,30.0
27229186,30.0
27229187,30.0
27229189,30.0
27229190,30.0
27229191,30.0
27229192,30.0
27229193,30.0
27229194,30.0
27229195,30.0
27229197,30.0
27229198,30.0
27229199,30.0
27229200,30.0
27229202,30.0
27229203,30.0
27229204,30.0
27229205,30.0
27229207,30.0
27229208,30.0
27229209,30.0
27229210,30.0
27229211,40.0
27229212,30.0
27229215,30.0
27229216,30.0
27229217,30.0
27229218,40.0
27229219,30.0
27229222,30.0
27229223,30.0
27244658,40.0
27244662,50.0
27244663,50.0
27244664,30.0
27244666,40.0
27244667,30.0
27244668,40.0
27244669,30.0
27244670,30.0
27244671,30.0
27244673,30.0
27244674,30.0
27244675,30.0
27244676,25.0
27244677,30.0
27244680,40.0
27244681,25.0
27244682,30.0
27244685,40.0
27244686,25.0
27244687,25.0
27244688,30.0
27244689,30.0
27244691,25.0
27244692,30.0
27244693,40.0
27244694,50.0
27244696,30.0
27244697,30.0
27244698,30.0
27244699,30.0
27244700,40.0
27244701,30.0
27244702,30.0
27244703,30.0
27244704,30.0
27244705,30.0
27244706,30.0
27244707,30.0
27244708,30.0
27244710,30.0
27244711,30.0
27244712,30.0
27244714,30.0
27244715,30.0
27244716,30.0
27244717,30.0
27253813,30.0
27253814,24.0
27253815,30.0
27253817,24.0
27253818,24.0
27253819,24.0
27253820,24.0
27253821,24.0
27253822,30.0
27253823,30.0
27253824,30.0
27253825,30.0
27253826,30.0
27253827,30.0
27253829,30.0
27253830,30.0
27253963,40.0
27253964,40.0
27255405,24.0
27255407,24.0
27255409,24.0
27255414,24.0
27255416,30.0
27255417,30.0
27255418,24.0
27255420,24.0
27255423,24.0
27255424,24.0
27255425,24.0
27255427,24.0
27255428,24.0
27255429,24.0
27255431,24.0
27255432,24.0
27255433,24.0
27255434,24.0
27255435,24.0
27255436,24.0
27255438,24.0
27255439,24.0
27255441,24.0
27255442,24.0
27255443,24.0
27255445,24.0
27255446,24.0
27255447,24.0
27255448,24.0
27255449,24.0
27255452,24.0
27255453,24.0
27255455,24.0
27255456,24.0
27255459,24.0
27255462,24.0
27255463,24.0
27255464,24.0
27255465,24.0
27255466,24.0
27255467,24.0
27255468,24.0
27255469,24.0
27255470,24.0
27255471,24.0
27255473,24.0
27255474,24.0
27265398,30.0
27265399,25.0
27265400,30.0
27265401,30.0
27265402,30.0
27265403,30.0
27265405,30.0
27265406,30.0
27265407,30.0
27265408,30.0
27265409,30.0
27265410,30.0
27265411,30.0
27265412,30.0
27265413,45.0
27265414,30.0
27265415,30.0
27265416,30.0
27265417,30.0
27265418,30.0
27265419,30.0
27265420,30.0
27265421,30.0
27265422,30.0
27265423,30.0
27265424,30.0
27265425,30.0
27265426,30.0
27265427,30.0
27265428,30.0
27265429,30.0
27265430,30.0
27265431,30.0
27265432,30.0
27265433,30.0
27265434,30.0
27291870,30.0
27291902,30.0
27291907,30.0
27291913,30.0
27291915,30.0
27291917,30.0
27291997,30.0
27292003,25.0
27292008,30.0
27293503,20.0
27293504,20.0
27293505,20.0
27293506,20.0
27293507,20.0
27293508,20.0
27293509,20.0
27310492,30.0
27310494,30.0
27310496,30.0
27310497,30.0
27310498,30.0
27310499,30.0
27310500,30.0
27310501,30.0
27310502,30.0
27310504,20.0
27310505,30.0
27310506,30.0
27310507,30.0
27310508,30.0
27310509,30.0
27310510,30.0
27310511,30.0
27310512,30.0
27310513,30.0
27366999,50.0
27397042,60.0
27416297,45.0
27416298,25.0
27416299,45.0
27416300,30.0
27416301,30.0
27416302,30.0
27416303,30.0
27416304,30.0
27416305,30.0
27416306,30.0
27416307,30.0
27416308,30.0
27416309,30.0
27416310,30.0
27416311,30.0
27416312,30.0
27416313,30.0
27416314,30.0
27416315,30.0
27416316,30.0
27416317,30.0
27416318,30.0
27416320,30.0
27416322,30.0
27416323,30.0
27416324,25.0
27416327,30.0
27416328,30.0
27416331,30.0
27429511,25.0
27429514,30.0
27429515,30.0
27429516,25.0
27429518,25.0
27436702,30.0
27448391,30.0
27448392,25.0
27453618,20.0
27453620,20.0
27453622,20.0
27540286,16.0
27787898,30.0
27787899,30.0
27787900,25.0
27787901,30.0
27787904,30.0
27787905,30.0
27787906,30.0
27787907,30.0
27787909,30.0
27787910,30.0
27787911,30.0
27787912,30.0
27787913,30.0
27787915,30.0
27787916,30.0
27787917,30.0
27787918,30.0
27787919,30.0
27787920,30.0
27787921,30.0
27787922,30.0
27787923,30.0
27787924,30.0
27787925,30.0
27787926,30.0
27787928,30.0
27787929,30.0
27787930,30.0
27787931,30.0
27787932,30.0
27787933,30.0
27787934,30.0
27787935,30.0
27787936,30.0
27787937,30.0
27787938,30.0
27787939,30.0
27787940,30.0
27787941,30.0
27787942,30.0
27787943,30.0
27787945,30.0
27787946,30.0
27787947,30.0
27787948,30.0
27787949,30.0
27787950,30.0
27799614,30.0
27799631,30.0
27799641,30.0
27819240,25.0
27819242,30.0
27819244,30.0
27819245,30.0
27819246,30.0
27819247,30.0
27819248,30.0
27819249,30.0
27819250,30.0
27819251,30.0
27819252,30.0
27819254,30.0
27819255,30.0
27819387,30.0
27819388,30.0
27819389,30.0
27819390,30.0
27819391,30.0
27819392,30.0
27819393,30.0
27819394,30.0
27819395,30.0
27819396,30.0
27819397,30.0
27819398,30.0
27819399,30.0
27819401,30.0
27819402,30.0
27819403,30.0
27819404,30.0
27819406,30.0
27819408,30.0
27819502,30.0
27819503,30.0
27819504,30.0
27819505,30.0
27819506,30.0
27819507,30.0
27819508,30.0
27819509,30.0
27819510,30.0
27819511,30.0
27819512,30.0
27819513,30.0
27819514,30.0
27862348,30.0
27880308,24.0
27880309,24.0
27880310,24.0
27880311,30.0
27880312,24.0
27880313,30.0
27880314,24.0
27880315,24.0
27880319,30.0
27880320,24.0
27880321,24.0
27880322,24.0
27880323,30.0
27880324,30.0
27880325,30.0
27880326,30.0
27880327,30.0
27880328,30.0
27880329,30.0
27880330,24.0
27880331,30.0
27880332,24.0
27880333,24.0
27880334,24.0
27880335,24.0
27880336,24.0
27880338,24.0
27880339,24.0
27880340,24.0
27880341,30.0
27880342,30.0
27880343,30.0
27880344,30.0
27880345,30.0
27880346,30.0
27880347,30.0
27880349,30.0
27880350,30.0
27880351,30.0
27880352,30.0
27880353,30.0
27880354,30.0
27880355,24.0
27880356,24.0
27880357,24.0
27880358,30.0
27880359,30.0
27880360,30.0
27880361,30.0
27880362,30.0
27880363,30.0
27880365,30.0
27880366,30.0
27880367,24.0
27909786,30.0
27909787,30.0
27909788,30.0
27909790,30.0
27909793,30.0
27909795,30.0
27909796,30.0
27909798,30.0
27909800,30.0
27909802,30.0
27909805,30.0
27909806,30.0
27909807,30.0
27909809,30.0
27909810,30.0
27909813,30.0
27909814,30.0
27909819,30.0
27909821,30.0
27909824,30.0
27909825,30.0
27909826,30.0
27909829,30.0
27909831,30.0
27909832,30.0
27909836,30.0
27909839,10.0
27909842,10.0
27909845,10.0
27909847,10.0
27909850,30.0
27909851,30.0
27909852,30.0
27909853,25.0
28440031,30.0
28440034,40.0
28849725,50.0
28849728,30.0
28849729,30.0
28850308,45.0
28850313,50.0
28850319,50.0
28850320,50.0
28925222,30.0
28925223,40.0
28925228,40.0
28925231,30.0
28925234,30.0
28925238,30.0
29709063,45.0
30665684,50.0
30827224,50.0
30827227,40.0
30827231,30.0
30827232,30.0
30827233,30.0
30827234,30.0
30827235,30.0
30827236,30.0
30827237,30.0
30827242,30.0
30827243,30.0
30827246,30.0
30827247,30.0
30827249,30.0
30827251,30.0
30827252,30.0
30827253,30.0
30827254,30.0
30827255,30.0
30827257,30.0
30827258,30.0
30827259,30.0
30827260,30.0
30827261,30.0
30827545,45.0
30827548,45.0
30827549,50.0
30827672,30.0
30827673,30.0
30827674,30.0
30827676,30.0
30827678,30.0
34109853,30.0
34109854,30.0
34109855,24.0
34109856,45.0
34109858,20.0
34110377,30.0
35338698,30.0
35338699,25.0
35338700,30.0
35338701,25.0
35338706,30.0
35338708,25.0
35338709,30.0
35338710,30.0
35338711,30.0
35338712,30.0
35338713,30.0
35338714,30.0
35338715,25.0
35338716,30.0
35338719,25.0
35338720,30.0
35338725,30.0
35338726,30.0
35338728,30.0
35338729,25.0
35338730,30.0
35338731,30.0
35338734,30.0
35338737,40.0
35338738,30.0
35338740,25.0
35338743,30.0
35338746,30.0
35338747,30.0
35338748,30.0
35338749,30.0
35338752,30.0
35338753,30.0
35338754,30.0
35338755,30.0
35338756,30.0
35338757,30.0
35338760,20.0
35338761,30.0
35338762,30.0
35338763,30.0
35338765,40.0
35338766,30.0
35338768,30.0
35338771,30.0
35338772,25.0
35338947,30.0
35360810,24.0
35360811,30.0
35360812,30.0
35360813,30.0
35360814,30.0
35360815,30.0
35360816,30.0
35360817,30.0
35360818,30.0
35360820,30.0
35360821,30.0
35360822,30.0
35360823,30.0
35360824,30.0
35360825,30.0
35360826,30.0
35360828,30.0
35360830,30.0
35360833,30.0
35360834,30.0
35360835,30.0
35360836,30.0
35360837,30.0
35360838,30.0
35360839,30.0
35360840,30.0
35360841,30.0
35360842,30.0
35360843,30.0
35360844,30.0
35360845,30.0
35360846,30.0
35360847,30.0
35360849,30.0
35360850,30.0
35360851,30.0
35360852,30.0
35360853,30.0
35360854,30.0
35360859,30.0
35360861,30.0
35360862,30.0
35360864,30.0
35360865,30.0
35360867,30.0
35360868,30.0
35360869,30.0
35360870,30.0
35431797,30.0
35431799,30.0
35431800,30.0
35431801,30.0
35431802,30.0
35431803,30.0
35431804,30.0
35431805,30.0
35431807,30.0
35431808,30.0
35431809,30.0
35431810,30.0
35431811,40.0
35431812,30.0
35431813,30.0
35431814,30.0
35431816,30.0
35431817,30.0
35431818,30.0
35431819,30.0
35431820,30.0
35431823,30.0
35431824,30.0
35431827,30.0
35431828,30.0
35431829,30.0
35431830,30.0
35431831,30.0
35431832,30.0
35431833,30.0
35431835,30.0
35431836,30.0
35431837,30.0
35431838,30.0
35431839,30.0
35431840,30.0
35431842,30.0
35431843,30.0
35431844,30.0
35431846,30.0
35431847,30.0
35431848,30.0
35431850,30.0
35431852,30.0
35431853,30.0
35431854,30.0
35431855,30.0
35431857,30.0
35431858,30.0
35431859,30.0
35431860,30.0
35431861,30.0
35431862,30.0
35431863,30.0
35431864,30.0
35431865,30.0
35431866,30.0
35431867,30.0
35431868,30.0
35431870,30.0
35431871,30.0
35431872,30.0
35431874,30.0
35431875,30.0
35431876,30.0
35431877,30.0
35431878,30.0
35431879,30.0
35431880,30.0
35431881,30.0
35431882,30.0
35431883,30.0
35431886,30.0
35431887,30.0
35431888,30.0
35431889,30.0
35431891,30.0
35431892,30.0
35431893,30.0
35431896,30.0
35431897,30.0
35431898,30.0
35431900,30.0
35431901,30.0
35431905,30.0
35432058,30.0
35432059,30.0
35432061,30.0
35432062,30.0
35432063,30.0
35432064,30.0
35432065,30.0
35432066,30.0
35432067,30.0
35432068,30.0
35432070,30.0
35432072,30.0
35432073,30.0
35432074,30.0
35432075,30.0
35432076,30.0
35432079,30.0
35432081,30.0
35432082,30.0
35432084,30.0
35432085,20.0
35432086,30.0
35432088,30.0
35432090,30.0
35432096,30.0
35432097,30.0
35432098,30.0
35432099,30.0
35432100,30.0
35432101,30.0
35432102,30.0
35432103,30.0
35432105,30.0
35432106,30.0
35432108,30.0
35432109,30.0
35432110,30.0
35432112,30.0
35432113,30.0
35432114,30.0
35432115,30.0
35432116,30.0
35432117,30.0
35432118,30.0
35432119,30.0
35432120,30.0
35432121,30.0
35432122,30.0
35432123,30.0
35432124,30.0
35432125,30.0
35432126,30.0
35432128,30.0
35432129,30.0
35432130,30.0
35432131,30.0
35432132,30.0
35439922,30.0
35439924,30.0
35439925,30.0
35439926,30.0
35439927,30.0
35439928,30.0
35439929,30.0
35439930,30.0
35439931,30.0
35439932,40.0
35439933,30.0
35439936,30.0
35439937,30.0
35439939,30.0
35439940,30.0
35439941,30.0
35439945,30.0
35439946,30.0
35439947,30.0
35439948,30.0
35439949,30.0
35439950,30.0
35439951,30.0
35439956,30.0
35439957,30.0
35439958,30.0
35439959,30.0
35439960,30.0
35439961,30.0
35439962,30.0
35439963,30.0
35439964,30.0
35439965,30.0
35439966,30.0
35439967,30.0
35439968,30.0
35439969,30.0
35439970,30.0
35439971,30.0
35439972,30.0
35439973,30.0
35439974,24.0
35439975,24.0
35439976,24.0
35439977,24.0
35439978,24.0
35439979,30.0
35439980,30.0
35439981,30.0
35439982,30.0
35439983,30.0
35439984,30.0
35439988,30.0
35439989,30.0
35439990,30.0
35439993,30.0
35439994,30.0
35439995,30.0
35439997,30.0
35439999,30.0
35440001,30.0
35440002,30.0
35440004,30.0
35440005,30.0
35440006,30.0
35440007,30.0
35440013,30.0
35440043,30.0
35440058,30.0
35440062,30.0
35440075,30.0
35440086,30.0
35440095,30.0
35440106,30.0
35440112,30.0
35440152,30.0
35440168,30.0
35440198,30.0
35440205,30.0
35440215,30.0
35440232,30.0
35440239,30.0
35440244,30.0
35440250,30.0
35440254,30.0
35440258,30.0
35440260,30.0
35440264,30.0
35440271,30.0
35440274,30.0
35440277,30.0
35440278,30.0
35440279,30.0
35440280,30.0
35440281,30.0
35440282,30.0
35445929,30.0
35445930,30.0
35445931,30.0
35445932,30.0
35445933,30.0
35445934,30.0
35445935,30.0
35470549,30.0
35470675,30.0
35470676,30.0
35470677,30.0
35470678,30.0
35470680,30.0
35470681,30.0
35470682,30.0
35470683,30.0
35470696,30.0
35470697,30.0
35470698,30.0
35470699,30.0
35470700,30.0
35470701,30.0
35470702,30.0
35470703,30.0
35470704,30.0
35470705,30.0
35470707,30.0
35470709,30.0
35470710,30.0
35470712,30.0
35470713,30.0
35470714,30.0
35470715,30.0
35470716,30.0
35470717,30.0
35470718,30.0
35470719,30.0
35470720,30.0
35470721,30.0
35470722,30.0
35470723,30.0
35470724,30.0
35470725,30.0
35470726,30.0
35470727,30.0
35470728,30.0
35470729,30.0
35470730,30.0
35470964,30.0
35470965,30.0
35470966,30.0
35470967,30.0
35470968,30.0
35470969,30.0
35470970,30.0
35470971,30.0
35470972,30.0
35470973,30.0
35470974,30.0
35470975,30.0
35470976,30.0
35470977,30.0
35470978,30.0
35470979,30.0
35470980,30.0
35470981,30.0
35470982,30.0
35470983,45.0
35470984,30.0
35470985,30.0
35470986,30.0
35470987,30.0
35470988,30.0
35470989,30.0
35470990,30.0
35470991,30.0
35470992,30.0
35470993,30.0
35470994,30.0
35470995,30.0
35470996,30.0
35470997,30.0
35470998,30.0
35470999,30.0
35471000,30.0
35471001,30.0
35471004,30.0
35471005,30.0
35471006,30.0
35471007,30.0
35471008,30.0
35471009,30.0
35471010,30.0
35471012,30.0
35471013,30.0
35471014,30.0
35471015,30.0
35471020,30.0
35471023,30.0
35471024,30.0
35471025,30.0
35471026,30.0
35471027,30.0
35471028,30.0
35471029,30.0
35471030,30.0
35471031,30.0
35471032,30.0
35471035,30.0
35471036,30.0
35471037,30.0
35471038,30.0
35471039,30.0
35471040,30.0
35471041,30.0
35471042,30.0
35471043,30.0
35471044,30.0
35471045,30.0
35471046,30.0
35471047,30.0
35471048,30.0
35471049,30.0
35471050,30.0
35471051,30.0
35471052,30.0
35471054,30.0
35471055,30.0
35471056,30.0
35471057,30.0
35471059,30.0
35471060,30.0
35471061,30.0
35471062,30.0
35471063,25.0
35471064,30.0
35471065,30.0
35471066,30.0
35471067,30.0
35471068,30.0
35471069,30.0
35471070,30.0
35471071,30.0
35471072,30.0
35471073,30.0
35471074,30.0
35471075,30.0
35471076,30.0
35471077,30.0
35471078,30.0
35471079,30.0
35471080,30.0
35471081,30.0
35471082,30.0
35471083,30.0
35471084,30.0
35471085,30.0
35471086,30.0
35471087,30.0
35471089,30.0
35471090,30.0
35471091,30.0
35471092,30.0
35471093,30.0
35471094,30.0
35471095,30.0
35471097,30.0
35471098,30.0
35471100,30.0
35471517,30.0
35471522,24.0
35471524,30.0
35471526,30.0
35471529,30.0
35471539,30.0
35471545,30.0
35471547,30.0
35471548,30.0
35471550,30.0
35471552,30.0
35471553,30.0
35471555,30.0
35471556,30.0
35471558,30.0
35471559,30.0
35471563,30.0
35471564,30.0
35471572,30.0
35471573,30.0
35471574,30.0
35471575,30.0
35471579,30.0
35471580,30.0
35471582,30.0
35471584,30.0
35471586,30.0
35471587,30.0
35471589,30.0
35471593,30.0
35471594,30.0
35471596,30.0
35471597,30.0
35471599,30.0
35471600,30.0
35471603,30.0
35471604,30.0
35471607,30.0
35471608,30.0
35471610,30.0
35471611,30.0
35471612,30.0
35471614,30.0
35471615,30.0
35471616,30.0
35471618,30.0
35471620,30.0
35471621,30.0
35471639,40.0
35471640,30.0
35471642,30.0
35471643,30.0
35471644,30.0
35471645,30.0
35471646,30.0
35471647,30.0
35471648,30.0
35471650,30.0
35471651,30.0
35471652,30.0
35471655,30.0
35471656,30.0
35471657,30.0
35471658,30.0
35471659,30.0
35471660,30.0
35471661,30.0
35471664,30.0
35471665,30.0
35471666,30.0
35471667,30.0
35471668,30.0
35471669,30.0
35471670,30.0
35471671,30.0
35471673,30.0
35471674,30.0
35471675,30.0
35471676,30.0
35471677,30.0
35471678,30.0
35471679,30.0
35471680,30.0
35471681,30.0
35471682,30.0
35471683,30.0
35471684,30.0
35471685,30.0
35471686,30.0
35471687,30.0
35471688,30.0
35471690,30.0
35471691,30.0
35471692,30.0
35471694,30.0
35471695,30.0
35471696,30.0
35471697,30.0
35471698,30.0
35471699,30.0
35471700,30.0
35471701,30.0
35471702,30.0
35471704,40.0
35471705,30.0
35471708,30.0
35471712,30.0
35471713,30.0
35471857,30.0
35471858,30.0
35471859,30.0
35471860,30.0
35471861,30.0
35471862,30.0
35471863,30.0
35471865,30.0
35471866,30.0
35471867,30.0
35471868,30.0
35471869,30.0
35471871,30.0
35471872,30.0
35471873,30.0
35471874,30.0
35471875,30.0
35471876,30.0
35471877,30.0
35471878,30.0
35471879,30.0
35471880,30.0
35471881,30.0
35471882,30.0
35471883,30.0
35471884,30.0
35471885,30.0
35471886,30.0
35471887,30.0
35471888,30.0
35471889,30.0
35471890,30.0
35471891,30.0
35471892,30.0
35471893,30.0
35471894,30.0
35471895,30.0
35471896,30.0
35471897,30.0
35471898,30.0
35471899,30.0
35471900,30.0
35471901,30.0
35471902,30.0
35471903,30.0
35471904,30.0
35471905,30.0
35471906,30.0
35471907,30.0
35471908,30.0
35471909,30.0
35471910,30.0
35471911,30.0
35471912,30.0
35471913,30.0
35471914,30.0
35471915,30.0
35471916,30.0
35471917,30.0
35471918,30.0
35471919,30.0
35471920,30.0
35474026,30.0
35474027,30.0
35474028,30.0
35474029,30.0
35474030,30.0
35474031,30.0
35474033,30.0
35474034,30.0
35474035,30.0
35474036,30.0
35474037,30.0
35474038,30.0
35474039,30.0
35474041,30.0
35474042,30.0
35474043,30.0
35474044,30.0
35474045,30.0
35474046,30.0
35474047,30.0
35474049,30.0
35474050,30.0
35474051,30.0
35474052,30.0
35474053,30.0
35474054,30.0
35474057,30.0
35474058,30.0
35474060,30.0
35474061,30.0
35474062,30.0
35474063,30.0
35474064,30.0
35474065,30.0
35474066,30.0
35474067,30.0
35474068,30.0
